Hole Depth,Weight on Bit,Rate Of Penetration
6834,15.1,5.13
6835,1.6,17.19
6836,6.8,98.44
6837,7.6,100.18
6838,14.9,99.41
6839,9.4,140.77
6840,10.9,144.99
6841,26.5,144.64
6842,12.2,117.51
6843,13.7,142.36
6844,15,95.31
6845,14.3,90.13
6846,19.8,103.33
6847,13.1,136.93
6848,13.7,135.26
6849,15.2,108.71
6850,16.7,88.51
6851,15.4,62.76
6852,16.1,56.92
6853,13.5,142.7
6854,13.6,142.87
6855,12.3,150.81
6856,18.3,146.69
6857,5.8,149.44
6858,4.8,150.83
6859,10.6,150.66
6860,12.2,149.55
6861,12.8,148.26
6862,9.1,149.66
6863,2,150.61
6864,7.4,150.11
6865,14.5,194.1
6866,14.3,184.79
6867,17,175.04
6868,14.5,188.3
6869,13.6,185.07
6870,3.3,23.99
6871,9.5,155.08
6872,11.1,239.98
6873,15.5,255.35
6874,16.2,198.13
6875,9.1,274.57
6876,20.6,291.98
6877,12,285.71
6878,15.7,256.69
6879,11.5,240.12
6880,19.1,258.87
6881,14.5,204.54
6882,14.7,208.29
6883,15.5,224.15
6884,6.3,211.51
6885,13.1,196.5
6886,4.5,232.96
6887,18.1,206.57
6888,15.6,223.23
6889,5.9,257.05
6890,15.8,278.31
6891,16.6,277.37
6892,17.9,232.1
6893,14.8,222.25
6894,13.1,239.63
6895,3.4,107.91
6896,1.9,228.87
6897,9.4,224.34
6898,2,126.55
6899,2.1,115.56
6900,4.3,120.34
6901,3.8,141.85
6902,6.3,137.85
6903,7.7,123.14
6904,5.8,117.75
6905,3.6,115.98
6906,2.5,115.64
6907,6.5,118.29
6908,1.5,117.77
6909,4.9,116.58
6910,4.2,127.08
6911,5.5,125.2
6912,5.1,125.45
6913,4.5,117.93
6914,5,127.59
6915,5.2,126.99
6916,4.8,141.6
6917,6.8,148.51
6918,4.4,153.55
6919,4.3,158.59
6920,1.9,157.91
6921,0.9,115.55
6922,3.4,121.19
6923,5,124.25
6924,3.2,167.15
6925,4.2,222.19
6926,3.7,226.32
6927,4,228.16
6928,3.8,230.08
6929,4,230.17
6930,2.8,51.24
6931,5.4,100.05
6932,5.1,100.26
6933,5.4,100.69
6934,5.8,101.03
6935,3.2,101.2
6936,14.6,31.02
6937,15.6,15.55
6938,13.8,12.75
6939,14.9,15.57
6940,17.6,33.94
6941,19.2,12.62
6942,18.7,14.69
6943,18.5,11.92
6944,18.4,12.77
6945,18.2,11.43
6946,15.4,18.71
6947,15.1,20.92
6948,13.8,29.12
6949,13.2,19.54
6950,16.2,33.96
6951,17.1,24.59
6952,18.1,35.33
6953,19.2,51.51
6954,20.5,64.58
6955,17.7,22.12
6956,17.7,22.04
6957,19.9,98.52
6958,13.4,31.31
6959,15.1,19.5
6960,16.2,31.76
6961,17.6,21.51
6962,20.6,44.41
6963,15.8,32.59
6964,15,26.12
6965,15.1,42.92
6966,17.1,49.51
6967,20.4,31.95
6968,24,66.68
6969,21.8,30.16
6970,20.7,32.62
6971,25.7,78.36
6972,28.4,58.77
6973,27.1,24.12
6974,26.9,30.47
6975,26,18.48
6976,29.9,58.67
6977,29.5,60.42
6978,29.8,48.65
6979,30.1,52.28
6980,26.9,29.44
6981,30.3,72.04
6982,29.4,40.79
6983,29.8,29.91
6984,29.5,21.86
6985,29.7,20.06
6986,29.7,17.83
6987,29.8,21.24
6988,22.2,18.86
6989,25.1,69.61
6990,24,38.71
6991,23.7,32.12
6992,28.6,42
6993,28.6,54.34
6994,28.2,41.12
6995,28.1,49.81
6996,28.3,48.7
6997,27.4,33.54
6998,27.1,33.36
6999,26.9,30.32
7000,27.1,40.83
7001,14.8,27.87
7002,9.1,17.14
7003,8.8,13.74
7004,8.7,17.43
7005,8.8,18.97
7006,9.4,18.78
7007,9,18.58
7008,9.2,18.68
7009,9.1,18.73
7010,9.3,18.8
7011,9.8,24.92
7012,9.1,25.44
7013,10.4,29.47
7014,10.4,29.16
7015,9.7,29.68
7016,9.8,29.52
7017,9.9,29.58
7018,9.8,29.83
7019,10.7,29.64
7020,8.4,24.88
7021,9,24.7
7022,9.2,24.64
7023,8.7,24.68
7024,11.1,89.17
7025,17.8,137.48
7026,18.8,141.39
7027,19.8,131.17
7028,17.5,137.66
7029,16.5,123.1
7030,17.7,123.44
