Attribute,Value
Hole Depth (km),8.001
Hole Depth (km),11.357
Hole Depth (km),8.002
Hole Depth (km),11.356
Hole Depth (km),8
Hole Depth (km),11.359
Hole Depth (km),7.998
Hole Depth (km),11.358
Hole Depth (km),7.999
Hole Depth (km),11.355
Hole Depth (km),8.006
Hole Depth (km),11.352
Hole Depth (km),8.007
Hole Depth (km),11.351
Hole Depth (km),8.005
Hole Depth (km),11.354
Hole Depth (km),8.003
Hole Depth (km),11.353
Hole Depth (km),8.004
Hole Depth (km),11.36
Hole Depth (km),7.991
Hole Depth (km),11.367
Hole Depth (km),7.992
Hole Depth (km),11.366
Hole Depth (km),7.99
Hole Depth (km),11.369
Hole Depth (km),7.988
Hole Depth (km),11.368
Hole Depth (km),7.989
Hole Depth (km),11.365
Hole Depth (km),7.996
Hole Depth (km),11.362
Hole Depth (km),7.997
Hole Depth (km),11.361
Hole Depth (km),7.995
Hole Depth (km),11.364
Hole Depth (km),7.993
Hole Depth (km),11.363
Hole Depth (km),7.994
Hole Depth (km),11.337
Hole Depth (km),8.014
Hole Depth (km),11.336
Hole Depth (km),8.015
Hole Depth (km),11.338
Hole Depth (km),8.012
Hole Depth (km),11.34
Hole Depth (km),8.013
Hole Depth (km),11.339
Hole Depth (km),8.016
Hole Depth (km),11.332
Hole Depth (km),8.019
Hole Depth (km),11.331
Hole Depth (km),8.02
Hole Depth (km),11.333
Hole Depth (km),8.017
Hole Depth (km),11.335
Hole Depth (km),8.018
Hole Depth (km),11.334
Hole Depth (km),8.011
Hole Depth (km),11.347
Hole Depth (km),8.011
Hole Depth (km),11.346
Hole Depth (km),8.005
Hole Depth (km),11.348
Hole Depth (km),8.008
Hole Depth (km),11.35
Hole Depth (km),8.009
Hole Depth (km),11.349
Hole Depth (km),8.006
Hole Depth (km),11.342
Hole Depth (km),8.009
Hole Depth (km),11.341
Hole Depth (km),8.01
Hole Depth (km),11.343
Hole Depth (km),8.007
Hole Depth (km),11.345
Hole Depth (km),8.008
Hole Depth (km),11.344
Hole Depth (km),11.37
Hole Depth (km),11.396
Hole Depth (km),7.961
Hole Depth (km),11.395
Hole Depth (km),7.962
Hole Depth (km),11.397
Hole Depth (km),7.959
Hole Depth (km),11.399
Hole Depth (km),7.96
Hole Depth (km),11.398
Hole Depth (km),7.963
Hole Depth (km),11.391
Hole Depth (km),7.966
Hole Depth (km),11.39
Hole Depth (km),7.967
Hole Depth (km),11.392
Hole Depth (km),7.964
Hole Depth (km),11.394
Hole Depth (km),7.965
Hole Depth (km),11.393
Hole Depth (km),7.958
Hole Depth (km),11.406
Hole Depth (km),7.951
Hole Depth (km),11.405
Hole Depth (km),7.952
Hole Depth (km),11.407
Hole Depth (km),7.949
Hole Depth (km),11.409
Hole Depth (km),7.95
Hole Depth (km),11.408
Hole Depth (km),7.953
Hole Depth (km),11.401
Hole Depth (km),7.956
Hole Depth (km),11.4
Hole Depth (km),7.957
Hole Depth (km),11.402
Hole Depth (km),7.954
Hole Depth (km),11.404
Hole Depth (km),7.955
Hole Depth (km),11.403
Hole Depth (km),7.981
Hole Depth (km),11.377
Hole Depth (km),7.982
Hole Depth (km),11.376
Hole Depth (km),7.98
Hole Depth (km),11.379
Hole Depth (km),7.978
Hole Depth (km),11.378
Hole Depth (km),7.979
Hole Depth (km),11.375
Hole Depth (km),7.986
Hole Depth (km),11.372
Hole Depth (km),7.987
Hole Depth (km),11.371
Hole Depth (km),7.985
Hole Depth (km),11.374
Hole Depth (km),7.983
Hole Depth (km),11.373
Hole Depth (km),7.984
Hole Depth (km),11.38
Hole Depth (km),7.971
Hole Depth (km),11.387
Hole Depth (km),7.972
Hole Depth (km),11.386
Hole Depth (km),7.97
Hole Depth (km),11.389
Hole Depth (km),7.968
Hole Depth (km),11.388
Hole Depth (km),7.969
Hole Depth (km),11.385
Hole Depth (km),7.976
Hole Depth (km),11.382
Hole Depth (km),7.977
Hole Depth (km),11.381
Hole Depth (km),7.975
Hole Depth (km),11.384
Hole Depth (km),7.973
Hole Depth (km),11.383
Hole Depth (km),7.974
Hole Depth (km),8.021
Hole Depth (km),8.074
Hole Depth (km),11.281
Hole Depth (km),8.075
Hole Depth (km),11.28
Hole Depth (km),8.073
Hole Depth (km),11.283
Hole Depth (km),8.071
Hole Depth (km),11.282
Hole Depth (km),8.072
Hole Depth (km),11.279
Hole Depth (km),8.079
Hole Depth (km),11.276
Hole Depth (km),8.08
Hole Depth (km),11.275
Hole Depth (km),8.078
Hole Depth (km),11.278
Hole Depth (km),8.076
Hole Depth (km),11.277
Hole Depth (km),8.077
Hole Depth (km),11.284
Hole Depth (km),8.064
Hole Depth (km),11.291
Hole Depth (km),8.065
Hole Depth (km),11.29
Hole Depth (km),8.063
Hole Depth (km),11.293
Hole Depth (km),8.061
Hole Depth (km),11.292
Hole Depth (km),8.062
Hole Depth (km),11.289
Hole Depth (km),8.069
Hole Depth (km),11.286
Hole Depth (km),8.07
Hole Depth (km),11.285
Hole Depth (km),8.068
Hole Depth (km),11.288
Hole Depth (km),8.066
Hole Depth (km),11.287
Hole Depth (km),8.067
Hole Depth (km),11.261
Hole Depth (km),8.093
Hole Depth (km),11.26
Hole Depth (km),8.094
Hole Depth (km),11.262
Hole Depth (km),8.091
Hole Depth (km),11.264
Hole Depth (km),8.092
Hole Depth (km),11.263
Hole Depth (km),8.095
Hole Depth (km),11.256
Hole Depth (km),8.098
Hole Depth (km),11.255
Hole Depth (km),8.099
Hole Depth (km),11.257
Hole Depth (km),8.096
Hole Depth (km),11.259
Hole Depth (km),8.097
Hole Depth (km),11.258
Hole Depth (km),8.09
Hole Depth (km),11.271
Hole Depth (km),8.083
Hole Depth (km),11.27
Hole Depth (km),8.084
Hole Depth (km),11.272
Hole Depth (km),8.081
Hole Depth (km),11.274
Hole Depth (km),8.082
Hole Depth (km),11.273
Hole Depth (km),8.085
Hole Depth (km),11.266
Hole Depth (km),8.088
Hole Depth (km),11.265
Hole Depth (km),8.089
Hole Depth (km),11.267
Hole Depth (km),8.086
Hole Depth (km),11.269
Hole Depth (km),8.087
Hole Depth (km),11.268
Hole Depth (km),11.294
Hole Depth (km),11.317
Hole Depth (km),8.034
Hole Depth (km),11.316
Hole Depth (km),8.035
Hole Depth (km),11.318
Hole Depth (km),8.032
Hole Depth (km),11.32
Hole Depth (km),8.033
Hole Depth (km),11.319
Hole Depth (km),8.036
Hole Depth (km),11.315
Hole Depth (km),8.039
Hole Depth (km),11.314
Hole Depth (km),8.04
Hole Depth (km),11.316
Hole Depth (km),8.037
Hole Depth (km),11.318
Hole Depth (km),8.038
Hole Depth (km),11.317
Hole Depth (km),8.031
Hole Depth (km),11.327
Hole Depth (km),8.024
Hole Depth (km),11.326
Hole Depth (km),8.025
Hole Depth (km),11.328
Hole Depth (km),8.022
Hole Depth (km),11.33
Hole Depth (km),8.023
Hole Depth (km),11.329
Hole Depth (km),8.026
Hole Depth (km),11.322
Hole Depth (km),8.029
Hole Depth (km),11.321
Hole Depth (km),8.03
Hole Depth (km),11.323
Hole Depth (km),8.027
Hole Depth (km),11.325
Hole Depth (km),8.028
Hole Depth (km),11.324
Hole Depth (km),8.054
Hole Depth (km),11.301
Hole Depth (km),8.055
Hole Depth (km),11.3
Hole Depth (km),8.053
Hole Depth (km),11.303
Hole Depth (km),8.051
Hole Depth (km),11.302
Hole Depth (km),8.052
Hole Depth (km),11.299
Hole Depth (km),8.059
Hole Depth (km),11.296
Hole Depth (km),8.06
Hole Depth (km),11.295
Hole Depth (km),8.058
Hole Depth (km),11.298
Hole Depth (km),8.056
Hole Depth (km),11.297
Hole Depth (km),8.057
Hole Depth (km),11.304
Hole Depth (km),8.044
Hole Depth (km),11.311
Hole Depth (km),8.045
Hole Depth (km),11.31
Hole Depth (km),8.043
Hole Depth (km),11.313
Hole Depth (km),8.041
Hole Depth (km),11.312
Hole Depth (km),8.042
Hole Depth (km),11.309
Hole Depth (km),8.049
Hole Depth (km),11.306
Hole Depth (km),8.05
Hole Depth (km),11.305
Hole Depth (km),8.048
Hole Depth (km),11.308
Hole Depth (km),8.046
Hole Depth (km),11.307
Hole Depth (km),8.047
Hole Depth (km),11.514
Hole Depth (km),7.843
Hole Depth (km),11.513
Hole Depth (km),7.844
Hole Depth (km),11.515
Hole Depth (km),7.841
Hole Depth (km),11.517
Hole Depth (km),7.842
Hole Depth (km),11.516
Hole Depth (km),7.845
Hole Depth (km),11.509
Hole Depth (km),7.848
Hole Depth (km),11.508
Hole Depth (km),7.849
Hole Depth (km),11.51
Hole Depth (km),7.846
Hole Depth (km),11.512
Hole Depth (km),7.847
Hole Depth (km),11.511
Hole Depth (km),7.84
Hole Depth (km),11.524
Hole Depth (km),7.833
Hole Depth (km),11.523
Hole Depth (km),7.834
Hole Depth (km),11.525
Hole Depth (km),7.831
Hole Depth (km),11.527
Hole Depth (km),7.832
Hole Depth (km),11.526
Hole Depth (km),7.835
Hole Depth (km),11.519
Hole Depth (km),7.838
Hole Depth (km),11.518
Hole Depth (km),7.839
Hole Depth (km),11.52
Hole Depth (km),7.836
Hole Depth (km),11.522
Hole Depth (km),7.837
Hole Depth (km),11.521
Hole Depth (km),7.863
Hole Depth (km),11.495
Hole Depth (km),7.864
Hole Depth (km),11.494
Hole Depth (km),7.862
Hole Depth (km),11.497
Hole Depth (km),7.86
Hole Depth (km),11.496
Hole Depth (km),7.861
Hole Depth (km),11.493
Hole Depth (km),7.868
Hole Depth (km),11.49
Hole Depth (km),7.869
Hole Depth (km),11.489
Hole Depth (km),7.867
Hole Depth (km),11.492
Hole Depth (km),7.865
Hole Depth (km),11.491
Hole Depth (km),7.866
Hole Depth (km),11.498
Hole Depth (km),7.853
Hole Depth (km),11.505
Hole Depth (km),7.854
Hole Depth (km),11.504
Hole Depth (km),7.852
Hole Depth (km),11.507
Hole Depth (km),7.85
Hole Depth (km),11.506
Hole Depth (km),7.851
Hole Depth (km),11.503
Hole Depth (km),7.858
Hole Depth (km),11.5
Hole Depth (km),7.859
Hole Depth (km),11.499
Hole Depth (km),7.857
Hole Depth (km),11.502
Hole Depth (km),7.855
Hole Depth (km),11.501
Hole Depth (km),7.856
Hole Depth (km),7.83
Hole Depth (km),7.804
Hole Depth (km),11.554
Hole Depth (km),7.805
Hole Depth (km),11.553
Hole Depth (km),7.803
Hole Depth (km),11.556
Hole Depth (km),7.801
Hole Depth (km),11.555
Hole Depth (km),7.802
Hole Depth (km),11.552
Hole Depth (km),7.809
Hole Depth (km),11.549
Hole Depth (km),7.81
Hole Depth (km),11.548
Hole Depth (km),7.808
Hole Depth (km),11.551
Hole Depth (km),7.806
Hole Depth (km),11.55
Hole Depth (km),7.807
Hole Depth (km),11.557
Hole Depth (km),7.794
Hole Depth (km),11.564
Hole Depth (km),7.795
Hole Depth (km),11.563
Hole Depth (km),7.793
Hole Depth (km),11.566
Hole Depth (km),7.791
Hole Depth (km),11.565
Hole Depth (km),7.792
Hole Depth (km),11.562
Hole Depth (km),7.799
Hole Depth (km),11.559
Hole Depth (km),7.8
Hole Depth (km),11.558
Hole Depth (km),7.798
Hole Depth (km),11.561
Hole Depth (km),7.796
Hole Depth (km),11.56
Hole Depth (km),7.797
Hole Depth (km),11.534
Hole Depth (km),7.823
Hole Depth (km),11.533
Hole Depth (km),7.824
Hole Depth (km),11.535
Hole Depth (km),7.821
Hole Depth (km),11.537
Hole Depth (km),7.822
Hole Depth (km),11.536
Hole Depth (km),7.825
Hole Depth (km),11.529
Hole Depth (km),7.828
Hole Depth (km),11.528
Hole Depth (km),7.829
Hole Depth (km),11.53
Hole Depth (km),7.826
Hole Depth (km),11.532
Hole Depth (km),7.827
Hole Depth (km),11.531
Hole Depth (km),7.82
Hole Depth (km),11.544
Hole Depth (km),7.813
Hole Depth (km),11.543
Hole Depth (km),7.814
Hole Depth (km),11.545
Hole Depth (km),7.811
Hole Depth (km),11.547
Hole Depth (km),7.812
Hole Depth (km),11.546
Hole Depth (km),7.815
Hole Depth (km),11.539
Hole Depth (km),7.818
Hole Depth (km),11.538
Hole Depth (km),7.819
Hole Depth (km),11.54
Hole Depth (km),7.816
Hole Depth (km),11.542
Hole Depth (km),7.817
Hole Depth (km),11.541
